nt_code,english_name,chinese_name,phylum_en,phylum_zh,class_en,class_zh,order_en,order_zh,family_en,family_zh,genus_en,genus_zh,gram_stain,medium_preference,aao5774_role,aao5774_basis,mapping_confidence,note
NT5011,Roseburia intestinalis,肠道罗斯布里亚菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Roseburia,罗斯布里亚菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5012,Roseburia inulinivorans,菊粉降解罗斯布里亚菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Roseburia,罗斯布里亚菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5013,Butyrivibrio crossotus,交叉丁酸弧菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Butyrivibrio,丁酸弧菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5014,Alistipes putredinis,腐败阿利斯特菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Rikenellaceae,里肯菌科,Alistipes,阿利斯特菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5015,Parvimonas micra,微小小单胞菌,Firmicutes,厚壁菌门,Tissierellia,蒂西耶菌纲,Tissierellales,蒂西耶菌目,Peptoniphilaceae,消化球菌科,Parvimonas,小单胞菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5016,Dialister invisus,隐匿戴阿利斯特菌,Firmicutes,厚壁菌门,Negativicutes,阴性厚壁菌纲,Selenomonadales,新月形单胞菌目,Veillonellaceae,韦荣球菌科,Dialister,戴阿利斯特菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5017,Veillonella parvula,小韦荣球菌,Firmicutes,厚壁菌门,Negativicutes,阴性厚壁菌纲,Selenomondales,,Veillonellaceae,韦荣球菌科,Veillonella,韦荣球菌属,negative,Todd-Hewitt+0.6% sodium lactate,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5018,Haemophilus parainfluenzae,副流感嗜血杆菌,Proteobacteria,变形菌门,Gammaproteobacteria,γ-变形菌纲,Pasteurellales,巴斯德菌目,Pasteurellaceae,巴斯德菌科,Haemophilus,嗜血杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5019,Prevotella copri,普雷沃氏菌 copri,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Prevotellaceae,普雷沃氏菌科,Prevotella,普雷沃氏菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5020,Prevotella melaninogenica,产黑色素普雷沃氏菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Prevotellaceae,普雷沃氏菌科,Prevotella,普雷沃氏菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5021,Akkermansia muciniphila,黏蛋白阿克曼菌,Verrucomicrobia,疣微菌门,Verrucomicrobiae,疣微菌纲,Verrucomicrobiales,疣微菌目,Verrucomicrobiaea,,Akkermansia,阿克曼菌属,negative,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5022,Bifidobacterium adolescentis,青春双歧杆菌,Actinobacteria,放线菌门,Actinobacteria,,Bifidobacteriales,双歧杆菌目,Bifidobacteriaceae,双歧杆菌科,Bifidobacterium,双歧杆菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5023,Bifidobacterium longum,长双歧杆菌,Actinobacteria,放线菌门,Actinomycetia,放线菌纲,Bifidobacteriales,双歧杆菌目,Bifidobacteriaceae,双歧杆菌科,Bifidobacterium,双歧杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5024,Eggerthella lenta,缓慢埃格特菌,Actinobacteria,放线菌门,Actinobacteria,,Coriobacteriales,科里杆菌目,Coriobacteriaceae,科里杆菌科,Eggerthella,埃格特菌属,positive,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5025,Fusobacterium nucleatum,核梭杆菌,Fusobacteria,梭杆菌门,Fusobacteria,,Fusobacteriales,梭杆菌目,Fusobacteriaceae,梭杆菌科,Fusobacterium,梭杆菌属,negative,mGAM,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5026,Clostridium bolteae,博尔特梭菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Clostridiaceae,梭菌科,Clostridium,梭菌属,positive,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5027,Dorea longicatena,长链多雷亚菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Dorea,多雷亚菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5028,Bifidobacterium longum,长双歧杆菌,Actinobacteria,放线菌门,Actinobacteria,,Bifidobacteriales,双歧杆菌目,Bifidobacteriaceae,双歧杆菌科,Bifidobacterium,双歧杆菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5029,Fusobacterium nucleatum,核梭杆菌,Fusobacteria,梭杆菌门,Fusobacteria,,Fusobacteriales,梭杆菌目,Fusobacteriaceae,梭杆菌科,Fusobacterium,梭杆菌属,,,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5030,Fusobacterium nucleatum,核梭杆菌,Fusobacteria,梭杆菌门,Fusobacteria,,Fusobacteriales,梭杆菌目,Fusobacteriaceae,梭杆菌科,Fusobacterium,梭杆菌属,,,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5031,Clostridium perfringens,产气荚膜梭菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Clostridiaceae,梭菌科,Clostridium,梭菌属,,,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5032,Clostridium perfringens,产气荚膜梭菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Clostridiaceae,梭菌科,Clostridium,梭菌属,positive,mGAM,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5033,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5034,Methanobrevibacter smithii,史密斯甲烷短杆菌,Euryarchaeota,广古菌门,Methanobacteria,甲烷杆菌纲,Methanobacteriales,甲烷杆菌目,Methanobacteriaceae,甲烷杆菌科,Methanobrevibacter,甲烷短杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5035,Desulfovibrio piger,小脱硫弧菌,Proteobacteria,变形菌门,Deltaproteobacteria,δ-变形菌纲,Desulfovibrionales,脱硫弧菌目,Desulfovibrionaceae,脱硫弧菌科,Desulfovibrio,脱硫弧菌属,,,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5036,Bilophila wadsworthia,沃兹沃思胆汁杆菌,Proteobacteria,变形菌门,Deltaproteobacteria,δ-变形菌纲,Desulfovibrionales,脱硫弧菌目,Desulfovibrionaceae,脱硫弧菌科,Bilophila,胆汁杆菌属,negative,mGAM supplemented with 60 mM sodium formiate and 10 mM taurine,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5037,Clostridium saccharolyticum,糖解梭菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Clostridiaceae,梭菌科,Clostridium,梭菌属,positive,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5038,Streptococcus salivarius,唾液链球菌,Firmicutes,厚壁菌门,Bacilli,芽孢杆菌纲,Lactobacillales,乳杆菌目,Streptococcaceae,链球菌科,Streptococcus,链球菌属,positive,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5039,Actinomyces odontolyticus,溶牙放线菌,Actinobacteria,放线菌门,Actinomycetia,放线菌纲,Actinomycetales,放线菌目,Actinomycetaceae,放线菌科,Actinomyces,放线菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5040,Eubacterium siraeum,西雷真杆菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Eubacteriaceae,真杆菌科,Eubacterium,真杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5041,Lactobacillus acidophilus,嗜酸乳杆菌,Firmicutes,厚壁菌门,Bacilli,芽孢杆菌纲,Lactobacillales,乳杆菌目,Lactobacillaceae,乳杆菌科,Lactobacillus,乳杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5042,Lactobacillus paracasei,副干酪乳杆菌,Firmicutes,厚壁菌门,Bacilli,芽孢杆菌纲,Lactobacillales,乳杆菌目,Lactobacillaceae,乳杆菌科,Lactobacillus,乳杆菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5043,Bifidobacterium animalis,动物双歧杆菌,Actinobacteria,放线菌门,Actinomycetia,放线菌纲,Bifidobacteriales,双歧杆菌目,Bifidobacteriaceae,双歧杆菌科,Bifidobacterium,双歧杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5044,Bifidobacterium animalis,动物双歧杆菌,Actinobacteria,放线菌门,Actinomycetia,放线菌纲,Bifidobacteriales,双歧杆菌目,Bifidobacteriaceae,双歧杆菌科,Bifidobacterium,双歧杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5045,Ruminococcus bromii,布罗米瘤胃球菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Ruminococcaceae,瘤胃球菌科,Ruminococcus,瘤胃球菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5046,Ruminococcus gnavus,格纳瘤胃球菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Blautia,布劳特菌属,positive,mGAM,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5047,Ruminococcus torques,托克斯瘤胃球菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Blautia,布劳特菌属,positive,mGAM,detrimental_like,potential producer of metabolically detrimental compounds or inflammatory pathobiont,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5048,Coprococcus comes,科梅斯粪球菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Coprococcus,粪球菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5049,Bacteroides dorei,多雷拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5050,Bacteroides caccae,卡凯拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5051,Bacteroides eggerthii,埃格特拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5052,Bacteroides clarus,清晰拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5053,Bacteroides coprocola,粪居拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5054,Bacteroides ovatus,卵形拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5055,Bacteroides stercoris,粪便拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5056,Bacteroides vulgatus,普通拟杆菌（vulgatus）,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5057,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5058,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5059,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5060,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5061,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5062,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5063,Bacteroides fragilis,脆弱拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5064,Bacteroides xylanisolvens,木聚糖溶解拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5065,Bacteroides uniformis,普通拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,negative,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5066,Bacteroides uniformis,普通拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Bacteroidaceae,拟杆菌科,Bacteroides,拟杆菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5067,Eubacterium halii,哈利真杆菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Eubacteriaceae,真杆菌科,Eubacterium,真杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5068,Eubacterium limosum,黏液真杆菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Eubacteriaceae,真杆菌科,Eubacterium,真杆菌属,,,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5069,Blautia obeum,奥贝姆布劳特菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Blautia,布劳特菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5070,Alistipes shahii,沙希阿利斯特菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Rikenellaceae,里肯菌科,Alistipes,阿利斯特菌属,,,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5071,Parabacteroides merdae,粪副拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Porphyromonadaceae,,Parabacteroides,副拟杆菌属,negative,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5072,Streptococcus parasanguinis,副血链球菌,Firmicutes,厚壁菌门,Bacilli,芽孢杆菌纲,Lactobacillales,乳杆菌目,Streptococcaceae,链球菌科,Streptococcus,链球菌属,positive,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5073,Collinsella aerofaciens,产气柯林斯菌,Actinobacteria,放线菌门,Actinobacteria,,Coriobacteriales,科里杆菌目,Coriobacteriaceae,科里杆菌科,Collinsella,柯林斯菌属,positive,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5074,Parabacteroides distasonis,蒸馏副拟杆菌,Bacteroidetes,拟杆菌门,Bacteroidia,拟杆菌纲,Bacteroidales,拟杆菌目,Porphyromonadaceae,,Parabacteroides,副拟杆菌属,negative,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5075,Eubacterium eligens,优美真杆菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Eubacteriaceae,真杆菌科,Eubacterium,真杆菌属,positive,mGAM,beneficial_like,SCFA-producing / fiber-responsive candidate,paper-inspired inference,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
NT5076,Dorea formicigenerans,产甲酸多雷亚菌,Firmicutes,厚壁菌门,Clostridia,梭菌纲,Clostridiales,梭菌目,Lachnospiraceae,拉克诺螺旋菌科,Dorea,多雷亚菌属,positive,mGAM,unclear_or_mixed,not explicitly classifiable from the paper abstract alone,conservative,"Role column is a paper-inspired learning aid, not an exact species list claimed by the paper."
