reference_id,source_sheet,disease_name,microbe_name_raw,microbe_name_cn,microbe_key,genus_hint,taxon_level,abundance_change_raw,abundance_shift,microbe_role_raw,microbe_role_in_disease,disease_effect_on_microbe,desired_step1_effect,relation_confidence,mechanism_note
DMR_0016,microbe_to_disease,便秘（Constipation）,Faecalibacterium prausnitzii,普拉梭菌,faecalibacteriumprausnitzii,Faecalibacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，抗炎；与便秘症状改善正相关（r=0.85）
DMR_0017,microbe_to_disease,便秘（Constipation）,Acinetobacter,不动杆菌属,acinetobacter,Acinetobacter,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0018,microbe_to_disease,便秘（Constipation）,Blautia,布劳特氏菌属,blautia,Blautia,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0019,microbe_to_disease,便秘（Constipation）,Dorea formicigenerans,产甲酸多尔氏菌,doreaformicigenerans,Dorea,species,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0020,microbe_to_disease,便秘（Constipation）,Eubacterium ramulus,枝状真杆菌,eubacteriumramulus,Eubacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0021,microbe_to_disease,便秘（Constipation）,Halomonas,盐单胞菌属,halomonas,Halomonas,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,便秘患者中丰度降低
DMR_0022,microbe_to_disease,便秘（Constipation）,Bifidobacterium longum,长双歧杆菌,bifidobacteriumlongum,Bifidobacterium,species,菌株特异性,unknown,双向,unknown,unknown,unknown,low,含abfA基因簇的菌株有效，不含则无效；有效菌株促进阿拉伯聚糖利用和乙酸产生
DMR_0023,microbe_to_disease,便秘（Constipation）,Escherichia coli,大肠杆菌,escherichiacoli,Escherichia,species,菌株特异性,unknown,双向,unknown,unknown,unknown,low,健康对照组中特定菌株富集；但AIEC菌株具致病性
DMR_0024,microbe_to_disease,便秘（Constipation）,Alistipes,另枝菌属,alistipes,Alistipes,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者（尤其是结肠传输延迟型）中富集
DMR_0025,microbe_to_disease,便秘（Constipation）,Alistipes onderdonkii,翁氏另枝菌,alistipesonderdonkii,Alistipes,species,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输延迟型便秘患者中关键菌
DMR_0026,microbe_to_disease,便秘（Constipation）,Akkermansia,阿克曼菌属,akkermansia,Akkermansia,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者（结肠传输延迟型）中富集
DMR_0027,microbe_to_disease,便秘（Constipation）,Oscillibacter,颤杆菌属,oscillibacter,Oscillibacter,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输延迟型便秘患者中富集
DMR_0028,microbe_to_disease,便秘（Constipation）,Ruthenibacterium,鲁泰尼杆菌属,ruthenibacterium,Ruthenibacterium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输延迟型便秘患者中关键菌
DMR_0029,microbe_to_disease,便秘（Constipation）,Ruthenibacterium lactatiformans,产乳酸鲁泰尼杆菌,ruthenibacteriumlactatiformans,Ruthenibacterium,species,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输延迟型便秘患者中关键菌
DMR_0030,microbe_to_disease,便秘（Constipation）,Klebsiella pneumoniae,肺炎克雷伯菌,klebsiellapneumoniae,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,结肠传输正常型便秘患者中关键菌
DMR_0031,microbe_to_disease,便秘（Constipation）,Holdemanella,霍尔德曼氏菌属,holdemanella,Holdemanella,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者中丰度增加
DMR_0032,microbe_to_disease,便秘（Constipation）,Parabacteroides,副拟杆菌属,parabacteroides,Parabacteroides,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者中丰度增加
DMR_0033,microbe_to_disease,便秘（Constipation）,Pseudomonas,假单胞菌属,pseudomonas,Pseudomonas,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者中丰度增加
DMR_0034,microbe_to_disease,便秘（Constipation）,Streptococcus,链球菌属,streptococcus,Streptococcus,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,便秘患者中丰度增加
DMR_0035,microbe_to_disease,便秘（Constipation）,Clostridium spp.（部分菌种）,梭菌属（部分菌种）,clostridiumspp部分菌种,Clostridium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,与便秘症状改善负相关（r=-0.8）
DMR_0036,microbe_to_disease,便秘（Constipation）,Patescibacteria 门,帕特西杆菌门,patescibacteria门,Patescibacteria,phylum,↑ 增加,increase,致病,risk,increase,inhibit,high,STC大鼠模型中丰度增加，益生菌可逆转
DMR_0037,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Butyrivibrio,丁酸弧菌属,butyrivibrio,Butyrivibrio,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，抗炎，降低肛周脓肿发生风险
DMR_0038,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Ruminiclostridium 5,瘤胃梭菌属-5,ruminiclostridium5,Ruminiclostridium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产短链脂肪酸，维持肠道稳态
DMR_0039,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Sutterella,萨特氏菌属,sutterella,Sutterella,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,抗炎作用，与肠道健康相关
DMR_0040,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Ruminococcaceae UCG003,瘤胃球菌科UCG003,ruminococcaceaeucg003,Ruminococcaceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,产乙酸，维持肠道稳态；OR=0.61
DMR_0041,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Erysipelatoclostridium,丹毒梭菌属,erysipelatoclostridium,Erysipelatoclostridium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,抗炎相关；OR=0.68
DMR_0042,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Porphyromonadaceae,紫单胞菌科,porphyromonadaceae,Porphyromonadaceae,family,↑ 增加,increase,致病,risk,increase,inhibit,high,机会致病菌，促进炎症反应
DMR_0043,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Actinomyces,放线菌属,actinomyces,Actinomyces,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,机会致病菌，与肛周感染相关
DMR_0044,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Faecalibacterium（特定菌株）,粪杆菌属（部分菌株）,faecalibacterium特定菌株,Faecalibacterium（特定菌株）,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,特定条件下可促炎（与普拉梭菌作用相反）
DMR_0045,microbe_to_disease,肛周脓肿（Anorectal Abscess）,Eubacterium brachy group,短真杆菌群,eubacteriumbrachygroup,Eubacterium,species,↑ 增加,increase,致病,risk,increase,inhibit,high,与肛周脓肿风险正相关；OR=1.41
DMR_0046,microbe_to_disease,肛瘘（Anal Fistula）,Butyrivibrio,丁酸弧菌属,butyrivibrio,Butyrivibrio,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，抗炎；OR=0.88
DMR_0047,microbe_to_disease,肛瘘（Anal Fistula）,Ruminiclostridium 5,瘤胃梭菌属-5,ruminiclostridium5,Ruminiclostridium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产短链脂肪酸；OR=0.79
DMR_0048,microbe_to_disease,肛瘘（Anal Fistula）,Erysipelotrichaceae UCG003,丹毒丝菌科UCG003,erysipelotrichaceaeucg003,Erysipelotrichaceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,维持肠道稳态；OR=0.82
DMR_0049,microbe_to_disease,肛瘘（Anal Fistula）,Haemophilus,嗜血杆菌属,haemophilus,Haemophilus,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,抗炎相关；OR=0.79
DMR_0050,microbe_to_disease,肛瘘（Anal Fistula）,Alloprevotella,另普雷沃氏菌属,alloprevotella,Alloprevotella,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,维持肠道稳态；OR=0.78
DMR_0051,microbe_to_disease,肛瘘（Anal Fistula）,Escherichia-Shigella,埃希-志贺菌属,escherichiashigella,Escherichia-Shigella,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,特定条件下有保护作用；OR=0.82
DMR_0052,microbe_to_disease,肛瘘（Anal Fistula）,Catenibacterium,链状杆菌属,catenibacterium,Catenibacterium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,与肛瘘风险正相关；OR=1.22
DMR_0053,microbe_to_disease,肛瘘（Anal Fistula）,Eubacterium ruminantium group,反刍真杆菌群,eubacteriumruminantiumgroup,Eubacterium,species,↑ 增加,increase,致病,risk,increase,inhibit,high,与肛瘘风险正相关；OR=1.17
DMR_0054,microbe_to_disease,肛瘘（Anal Fistula）,Ruminococcus,瘤胃球菌属,ruminococcus,Ruminococcus,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,肛瘘患者中富集，降解黏液
DMR_0055,microbe_to_disease,肛瘘（Anal Fistula）,Bacteroides,拟杆菌属,bacteroides,Bacteroides,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,肛瘘患者中富集
DMR_0056,microbe_to_disease,肛瘘（Anal Fistula）,皮肤源性细菌,—,皮肤源性细菌,皮肤源性细菌,genus,检出,unknown,致病,risk,unknown,unknown,low,肛瘘瘘管中微生物部分来源于肛周皮肤（首次发现）
DMR_0057,microbe_to_disease,炎症性肠病（IBD）,Faecalibacterium prausnitzii,普拉梭菌,faecalibacteriumprausnitzii,Faecalibacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，抗炎，促进上皮修复；丰度与疾病活动度呈负相关
DMR_0058,microbe_to_disease,炎症性肠病（IBD）,Roseburia spp.,罗氏菌属,roseburiaspp,Roseburia,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸，增加Treg细胞，调节免疫耐受
DMR_0059,microbe_to_disease,炎症性肠病（IBD）,Phascolarctobacterium spp.,考拉杆菌属,phascolarctobacteriumspp,Phascolarctobacterium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,产丙酸，具有抗炎作用
DMR_0060,microbe_to_disease,炎症性肠病（IBD）,Odoribacterium spp.,气味杆菌属,odoribacteriumspp,Odoribacterium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,参与上皮修复和炎症调控
DMR_0061,microbe_to_disease,炎症性肠病（IBD）,Ruminococcaceae 科,瘤胃球菌科,ruminococcaceae科,Ruminococcaceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,产乙酸，维持肠道稳态
DMR_0062,microbe_to_disease,炎症性肠病（IBD）,Lachnospiraceae 科,毛螺菌科,lachnospiraceae科,Lachnospiraceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,产短链脂肪酸，维持免疫稳态
DMR_0063,microbe_to_disease,炎症性肠病（IBD）,Bifidobacterium spp.,双歧杆菌属,bifidobacteriumspp,Bifidobacterium,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,维持免疫稳态，抑制病原体定植
DMR_0064,microbe_to_disease,炎症性肠病（IBD）,Akkermansia muciniphila,嗜黏蛋白阿克曼菌,akkermansiamuciniphila,Akkermansia,species,↓ 减少,decrease,保护,protective,decrease,promote,high,降解粘蛋白，促进屏障功能；缓解期丰度高于活动期
DMR_0065,microbe_to_disease,炎症性肠病（IBD）,Escherichia coli,大肠杆菌,escherichiacoli,Escherichia,species,↑ 增加,increase,致病,risk,increase,inhibit,high,粘附侵袭性大肠杆菌（AIEC），激活TLR4通路，触发炎症
DMR_0066,microbe_to_disease,炎症性肠病（IBD）,Klebsiella pneumoniae,肺炎克雷伯菌,klebsiellapneumoniae,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,机会致病菌，表达超广谱β-内酰胺酶，与病情加重相关
DMR_0067,microbe_to_disease,炎症性肠病（IBD）,Klebsiella variicola,变栖克雷伯菌,klebsiellavariicola,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0068,microbe_to_disease,炎症性肠病（IBD）,Klebsiella quasipneumoniae,准肺炎克雷伯菌,klebsiellaquasipneumoniae,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0069,microbe_to_disease,炎症性肠病（IBD）,Proteus mirabilis,奇异变形菌,proteusmirabilis,Proteus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0070,microbe_to_disease,炎症性肠病（IBD）,Citrobacter freundii,弗氏柠檬酸杆菌,citrobacterfreundii,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0071,microbe_to_disease,炎症性肠病（IBD）,Citrobacter youngae,杨氏柠檬酸杆菌,citrobacteryoungae,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,肠杆菌科成员，在IBD中显著富集
DMR_0072,microbe_to_disease,炎症性肠病（IBD）,Enterobacteriaceae 科,肠杆菌科,enterobacteriaceae科,Enterobacteriaceae,family,↑ 增加,increase,致病,risk,increase,inhibit,high,整体丰度增加是菌群失调的核心标志，与炎症正相关
DMR_0073,microbe_to_disease,炎症性肠病（IBD）,Enterococcus faecium,屎肠球菌,enterococcusfaecium,Enterococcus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,携带多重耐药基因，在IBD中富集
DMR_0074,microbe_to_disease,炎症性肠病（IBD）,Ruminococcus gnavus,活泼瘤胃球菌,ruminococcusgnavus,Ruminococcus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,黏液降解菌，在IBD中增加
DMR_0075,microbe_to_disease,炎症性肠病（IBD）,Clostridium spp.（部分菌种）,梭菌属（部分菌种）,clostridiumspp部分菌种,Clostridium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,某些梭菌与肠道炎症相关
DMR_0076,microbe_to_disease,克罗恩病（CD）,Escherichia coli（AIEC）,粘附侵袭性大肠杆菌,escherichiacoliaiec,Escherichia,species,↑ 增加,increase,致病,risk,increase,inhibit,high,CD特征性致病菌，能穿透黏液层、侵袭上皮细胞
DMR_0077,microbe_to_disease,克罗恩病（CD）,Klebsiella oxytoca,产酸克雷伯菌,klebsiellaoxytoca,Klebsiella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在CD队列中特异性富集，携带耐药基因
DMR_0078,microbe_to_disease,克罗恩病（CD）,Morganella morganii,摩氏摩根菌,morganellamorganii,Morganella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在CD队列中特异性富集
DMR_0079,microbe_to_disease,克罗恩病（CD）,Citrobacter amalonaticus,无丙二酸柠檬酸杆菌,citrobacteramalonaticus,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在CD队列中特异性富集
DMR_0080,microbe_to_disease,克罗恩病（CD）,Listeria monocytogenes,单核细胞增生李斯特菌,listeriamonocytogenes,Listeria,species,检出,unknown,致病,risk,unknown,unknown,low,可在CD患者组织中检出，与肉芽肿反应相关
DMR_0081,microbe_to_disease,克罗恩病（CD）,Bacteroides fragilis（产毒株）,脆弱拟杆菌（产肠毒素株）,bacteroidesfragilis产毒株,Bacteroides,species,↑ 增加,increase,致病,risk,increase,inhibit,high,分泌毒素，与EBV共感染及不良预后相关
DMR_0082,microbe_to_disease,溃疡性结肠炎（UC）,Citrobacter portucalensis,葡萄牙柠檬酸杆菌,citrobacterportucalensis,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在UC队列中特异性富集
DMR_0083,microbe_to_disease,溃疡性结肠炎（UC）,Citrobacter pasteurii,巴斯德柠檬酸杆菌,citrobacterpasteurii,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在UC队列中特异性富集
DMR_0084,microbe_to_disease,溃疡性结肠炎（UC）,Citrobacter werkmanii,沃克曼柠檬酸杆菌,citrobacterwerkmanii,Citrobacter,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在UC队列中特异性富集
DMR_0085,microbe_to_disease,溃疡性结肠炎（UC）,Proteus hauseri,豪氏变形菌,proteushauseri,Proteus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在UC队列中特异性富集
DMR_0086,microbe_to_disease,溃疡性结肠炎（UC）,Leuconostocaceae 科,明串珠菌科,leuconostocaceae科,Leuconostocaceae,family,↓ 减少,decrease,保护,protective,decrease,promote,high,产乙酸和乳酸的菌群，UC中减少
DMR_0087,microbe_to_disease,结直肠癌（CRC）,Fusobacterium nucleatum,具核梭杆菌,fusobacteriumnucleatum,Fusobacterium,species,↑ 增加,increase,致病,risk,increase,inhibit,high,促进炎症和肿瘤发生，CRC核心致病菌
DMR_0088,microbe_to_disease,结直肠癌（CRC）,Bacteroides fragilis（产毒株）,脆弱拟杆菌（产肠毒素株）,bacteroidesfragilis产毒株,Bacteroides,species,↑ 增加,increase,致病,risk,increase,inhibit,high,产肠毒素，促进炎症和肿瘤发生
DMR_0089,microbe_to_disease,结直肠癌（CRC）,Parvimonas micra,微小微单胞菌,parvimonasmicra,Parvimonas,species,↑ 增加,increase,致病,risk,increase,inhibit,high,口腔来源的机会致病菌，在CRC中富集
DMR_0090,microbe_to_disease,结直肠癌（CRC）,Peptostreptococcus anaerobius,厌氧消化链球菌,peptostreptococcusanaerobius,Peptostreptococcus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,与CRC发生发展相关
DMR_0091,microbe_to_disease,结直肠癌（CRC）,Streptococcus anginosus,咽峡炎链球菌,streptococcusanginosus,Streptococcus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,与CRC相关
DMR_0092,microbe_to_disease,结直肠癌（CRC）,Desulfovibrio desulfuricans,脱硫弧菌,desulfovibriodesulfuricans,Desulfovibrio,species,↑ 增加,increase,致病,risk,increase,inhibit,high,产硫化氢，具细胞毒性
DMR_0093,microbe_to_disease,结直肠癌（CRC）,Escherichia coli（pks+菌株）,产colibactin大肠杆菌,escherichiacolipks菌株,Escherichia,species,↑ 增加,increase,致病,risk,increase,inhibit,high,携带聚酮合酶基因岛，产生colibactin致DNA损伤
DMR_0094,microbe_to_disease,结直肠癌（CRC）,Clostridium symbiosum,共生梭菌,clostridiumsymbiosum,Clostridium,species,↑ 增加,increase,致病,risk,increase,inhibit,high,机会致病菌，CRC中富集
DMR_0095,microbe_to_disease,结直肠癌（CRC）,Alistipes spp.（部分菌种）,另枝菌属（部分菌种）,alistipesspp部分菌种,Alistipes,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,部分菌种在CRC中富集，作用待明确
DMR_0096,microbe_to_disease,肠易激综合征（IBS）,整体菌群多样性,—,整体菌群多样性,整体菌群多样性,genus,↓ 减少,decrease,保护缺失,protective,decrease,promote,high,菌群多样性降低是IBS的常见特征
DMR_0097,microbe_to_disease,肠易激综合征（IBS）,Methanobrevibacter spp.,甲烷短杆菌属,methanobrevibacterspp,Methanobrevibacter,genus,变化,unknown,双向,unknown,unknown,unknown,low,产甲烷古菌，与IBS便秘亚型相关
DMR_0098,microbe_to_disease,系统性红斑狼疮（SLE）,Ruminococcus gnavus,活泼瘤胃球菌,ruminococcusgnavus,Ruminococcus,species,↑ 增加,increase,致病,risk,increase,inhibit,high,与狼疮肾炎（LN）疾病 flares 密切相关，在近半数 LN 患者 flares 期间出现肠道扩张（blooms）；表达高免疫原性脂聚糖，诱导血清IgG2抗体应答
DMR_0099,microbe_to_disease,系统性红斑狼疮（SLE）,Veillonella spp.,韦荣球菌属,veillonellaspp,Veillonella,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,在SLE患者肠道中出现短暂性扩张，可能源于口腔易位
DMR_0100,microbe_to_disease,系统性红斑狼疮（SLE）,Fusobacterium spp.,梭杆菌属,fusobacteriumspp,Fusobacterium,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,机会致病菌，在SLE患者肠道中出现短暂性扩张
DMR_0101,microbe_to_disease,系统性红斑狼疮（SLE）,Akkermansia muciniphila,嗜黏蛋白阿克曼菌,akkermansiamuciniphila,Akkermansia,species,↓ 减少（治疗前）,decrease,保护,protective,decrease,promote,high,在SLE小鼠模型中，补充该菌可降低IL-6和IL-17，增加IL-10，恢复肠道屏障完整性，改善肾功能
DMR_0102,microbe_to_disease,系统性红斑狼疮（SLE）,Lactobacillus plantarum,植物乳杆菌,lactobacillusplantarum,Lactobacillus,species,↓ 减少（治疗前）,decrease,保护,protective,decrease,promote,high,在SLE小鼠模型中，补充该菌可降低炎症因子，恢复肠道屏障，改善肾功能
DMR_0103,microbe_to_disease,系统性红斑狼疮（SLE）,整体菌群多样性,—,整体菌群多样性,整体菌群多样性,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,SLE患者肠道菌群α多样性降低，β多样性显著偏离健康对照，菌群时间稳定性差
DMR_0104,microbe_to_disease,类风湿关节炎（RA）,Prevotella copri,普雷沃氏菌,prevotellacopri,Prevotella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,在新发未治疗RA患者中显著富集；携带铁转运蛋白等毒力基因；联合高纤维饮食可致富马酸、琥珀酸过量产生，促进巨噬细胞炎症反应，加剧关节炎
DMR_0105,microbe_to_disease,类风湿关节炎（RA）,Prevotella copri RA株,普雷沃氏菌RA株,prevotellacoprira株,Prevotella,species,↑ 增加,increase,致病,risk,increase,inhibit,high,从RA患者粪便中分离的特异性菌株，定植后加剧胶原诱导性关节炎（CIA）模型中的炎症
DMR_0106,microbe_to_disease,类风湿关节炎（RA）,Bacteroides spp.,拟杆菌属,bacteroidesspp,Bacteroides,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,维持肠道稳态的关键菌属，在RA患者中丰度降低
DMR_0107,microbe_to_disease,类风湿关节炎（RA）,cluster XIV Clostridia,XIV族梭菌,clusterxivclostridia,cluster,species,↓ 减少,decrease,保护,protective,decrease,promote,high,产丁酸菌群，在RA患者中丰度降低，与免疫耐受维持相关
DMR_0108,microbe_to_disease,多发性硬化（MS）,Bifidobacterium adolescentis,青春双歧杆菌,bifidobacteriumadolescentis,Bifidobacterium,species,↓ 减少,decrease,保护,protective,decrease,promote,high,与A. muciniphila的比值（BA:AM）降低是MS患者的微生物标志物，与疾病严重程度相关
DMR_0109,microbe_to_disease,多发性硬化（MS）,Akkermansia muciniphila,嗜黏蛋白阿克曼菌,akkermansiamuciniphila,Akkermansia,species,↑ 增加（相对）,increase,致病（相对）,risk,increase,inhibit,high,BA:AM比值降低（即AM相对增多）是MS的微生物特征
DMR_0110,microbe_to_disease,多发性硬化（MS）,Prevotella spp.,普雷沃氏菌属,prevotellaspp,Prevotella,genus,↓ 减少,decrease,保护,protective,decrease,promote,high,与免疫调节相关的菌属，在MS患者中减少
DMR_0111,microbe_to_disease,多发性硬化（MS）,Pseudomonas spp.,假单胞菌属,pseudomonasspp,Pseudomonas,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,与炎症信号相关的菌属，在MS患者中富集
DMR_0112,microbe_to_disease,多发性硬化（MS）,Haemophilus spp.,嗜血杆菌属,haemophilusspp,Haemophilus,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,在MS患者中富集
DMR_0113,microbe_to_disease,多发性硬化（MS）,Blautia spp.,布劳特氏菌属,blautiaspp,Blautia,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,在MS患者中富集
DMR_0114,microbe_to_disease,多发性硬化（MS）,Dorea spp.,多雷亚菌属,doreaspp,Dorea,genus,↑ 增加,increase,致病,risk,increase,inhibit,high,在MS患者中富集
